instant,dteday,season,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,1,0,False,6,1,0.24,-17.617833333333333,0.81,0.0,3,13,16
2,2011-01-01,1,1,False,6,1,0.22,-17.62627777777778,0.8,0.0,8,32,40
3,2011-01-01,1,2,False,6,1,0.22,-17.62627777777778,0.8,0.0,5,27,32
4,2011-01-01,1,3,False,6,1,0.24,-17.617833333333333,0.75,0.0,3,10,13
5,2011-01-01,1,4,False,6,1,0.24,-17.617833333333333,0.75,0.0,0,1,1
6,2011-01-01,1,5,False,6,2,0.24,-17.634666666666664,0.75,0.0896,0,1,1
7,2011-01-01,1,6,False,6,1,0.22,-17.62627777777778,0.8,0.0,2,0,2
8,2011-01-01,1,7,False,6,1,0.2,-17.634666666666664,0.86,0.0,1,2,3
9,2011-01-01,1,8,False,6,1,0.24,-17.66670283806344,0.75,0.0,1,7,8
10,2011-01-01,1,9,False,6,1,0.32,-17.584166666666665,0.76,0.0,8,6,14
11,2011-01-01,1,10,False,6,1,0.38,-17.6515,0.76,0.2537,12,24,36
18,2011-01-01,1,17,False,6,2,0.44,-17.66670283806344,0.82,0.2836,0,52,67
24,2011-01-01,1,23,False,6,2,0.46,-17.66670283806344,0.88,0.2985,0,24,39
29,2011-01-02,1,4,False,0,2,0.46,-17.66670283806344,0.94,0.194,2,1,3
33,2011-01-02,1,9,False,0,2,0.38,-17.66670283806344,0.76,0.2239,1,19,20
34,2011-01-02,1,10,False,0,2,0.36,-17.584166666666665,0.81,0.2239,7,46,53
37,2011-01-02,1,13,False,0,2,0.36,-17.584166666666665,0.66,0.1343,11,64,75
38,2011-01-02,1,14,False,0,1,0.36,-17.66670283806344,0.76,0.194,4,55,59
40,2011-01-02,1,16,False,0,1,0.34,-17.59261111111111,0.71,0.1642,9,67,76
41,2011-01-02,1,17,False,0,1,0.34,-17.59261111111111,0.57,0.194,7,58,65
42,2011-01-02,1,18,False,0,2,0.36,-17.59261111111111,0.46,0.3284,10,43,53
43,2011-01-02,1,19,False,0,1,0.32,-17.617833333333333,0.42,0.4478,1,29,30
44,2011-01-02,1,20,False,0,1,0.3,-17.66670283806344,0.39,0.3582,5,17,22
45,2011-01-02,1,21,False,0,1,0.26,-17.6515,0.44,0.3284,11,20,31
46,2011-01-02,1,22,False,0,1,0.24,-17.659944444444445,0.44,0.2985,0,9,9
47,2011-01-02,1,23,False,0,1,0.22,-17.6515,0.47,0.1642,0,8,8
48,2011-01-03,1,0,False,1,1,0.22,-17.668333333333337,0.44,0.3582,0,5,5
49,2011-01-03,1,1,False,1,1,0.2,-17.66670283806344,0.44,0.4179,0,2,2
50,2011-01-03,1,4,False,1,1,0.16,-17.702,0.47,0.3881,0,1,1
51,2011-01-03,1,5,False,1,1,0.16,-17.702,0.47,0.2836,0,3,3
52,2011-01-03,1,6,False,1,1,0.14,-17.718833333333333,0.5,0.3881,0,30,30
53,2011-01-03,1,7,False,1,1,0.14,-17.702,0.5,0.194,1,63,64
54,2011-01-03,1,8,False,1,1,0.14,-17.710444444444445,0.5,0.2836,1,1,1
55,2011-01-03,1,9,False,1,1,0.16,-17.702,0.43,0.3881,7,81,88
56,2011-01-03,1,10,False,1,1,0.18,-17.685166666666667,0.43,0.2537,11,33,44
57,2011-01-03,1,11,False,1,1,0.2,-17.67677777777778,0.4,0.3284,10,41,51
58,2011-01-03,1,12,False,1,1,0.22,-17.659944444444445,0.35,0.2985,0,48,61
59,2011-01-03,1,13,False,1,1,0.24,-17.66670283806344,0.35,0.2836,8,53,61
60,2011-01-03,1,14,False,1,1,0.26,-17.64311111111111,0.3,0.2836,11,66,77
61,2011-01-03,1,15,False,1,1,0.26,-17.64311111111111,0.3,0.2537,0,58,72
62,2011-01-03,1,16,False,1,1,0.26,-17.64311111111111,0.3,0.2537,9,67,76
65,2011-01-03,1,19,False,1,1,0.2,-17.634666666666664,0.47,0.0,8,102,110
66,2011-01-03,1,20,False,1,1,0.2,-17.66670283806344,0.47,0.1045,3,49,52
67,2011-01-03,1,21,False,1,1,0.18,-17.668333333333337,0.64,0.1343,3,49,52
68,2011-01-03,1,22,False,1,1,0.14,-17.69361111111111,0.69,0.1343,0,20,20
69,2011-01-03,1,23,False,1,1,0.18,-17.659944444444445,0.55,0.1045,1,11,12
70,2011-01-04,1,0,False,2,1,0.16,-17.66670283806344,0.55,0.1045,0,5,5
71,2011-01-04,1,1,False,2,1,0.16,-17.67677777777778,0.59,0.1045,0,2,2
72,2011-01-04,1,2,False,2,1,0.14,-17.69361111111111,0.63,0.1343,0,1,1
73,2011-01-04,1,4,False,2,1,0.14,-17.67677777777778,0.63,0.0896,0,2,2
74,2011-01-04,1,5,False,2,1,0.12,-17.69361111111111,0.68,0.1045,0,4,4
75,2011-01-04,1,6,False,2,1,0.12,-17.69361111111111,0.74,0.1045,0,36,36
76,2011-01-04,1,7,False,2,1,0.12,-17.69361111111111,0.74,0.1343,2,92,94
78,2011-01-04,1,9,False,2,1,0.16,-17.69361111111111,0.64,0.2239,2,98,100
79,2011-01-04,1,10,False,2,2,0.16,-17.702,0.69,0.3284,5,37,42
80,2011-01-04,1,11,False,2,1,0.22,-17.659944444444445,0.51,0.2985,7,50,57
81,2011-01-04,1,12,False,2,1,0.22,-17.6515,0.51,0.1642,12,66,78
83,2011-01-04,1,14,False,2,1,0.26,-17.634666666666664,0.52,0.2239,9,54,63
85,2011-01-04,1,16,False,2,1,0.3,-17.617833333333333,0.49,0.2537,0,68,83
88,2011-01-04,1,19,False,2,1,0.24,-17.634666666666664,0.48,0.1045,2,110,112
89,2011-01-04,1,20,False,2,1,0.24,-17.634666666666664,0.48,0.1045,1,53,54
90,2011-01-04,1,21,False,2,1,0.22,-17.62627777777778,0.64,0.0,0,48,48
91,2011-01-04,1,22,False,2,1,0.22,-17.634666666666664,0.64,0.0896,1,34,35
92,2011-01-04,1,23,False,2,1,0.2,-17.6515,0.69,0.0896,2,9,11
93,2011-01-05,1,0,False,3,1,0.2,-17.634666666666664,0.64,0.0,0,6,6
94,2011-01-05,1,1,False,3,1,0.16,-17.668333333333337,0.74,0.0896,0,6,6
95,2011-01-05,1,2,False,3,1,0.16,-17.668333333333337,0.74,0.0896,0,2,2
96,2011-01-05,1,4,False,3,1,0.24,-17.6515,0.48,0.2239,0,2,2
97,2011-01-05,1,5,False,3,1,0.22,-17.6515,0.47,0.1642,0,3,3
98,2011-01-05,1,6,False,3,1,0.2,-17.668333333333337,0.47,0.2239,0,33,33
99,2011-01-05,1,7,False,3,1,0.18,-17.67677777777778,0.43,0.194,1,87,88
101,2011-01-05,1,9,False,3,1,0.22,-17.668333333333337,0.37,0.3284,6,109,115
